episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,done,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,hist_stats/episode_reward,hist_stats/episode_lengths,timers/sample_time_ms,timers/sample_throughput,timers/learn_time_ms,timers/learn_throughput,timers/update_time_ms,info/num_steps_sampled,info/num_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,info/learner/pol/allreduce_latency,info/learner/pol/cur_kl_coeff,info/learner/pol/cur_lr,info/learner/pol/total_loss,info/learner/pol/policy_loss,info/learner/pol/vf_loss,info/learner/pol/vf_explained_var,info/learner/pol/kl,info/learner/pol/entropy,info/learner/pol/entropy_coeff
nan,nan,nan,nan,0,1,4000,False,0,1,ba73a0bdcfbe436d9b21f88e074c842a,2021-05-04_19-54-29,1620125669,42.419790267944336,42.419790267944336,14027,Hinton,143.248.157.211,42.419790267944336,0,1,f80e6_00000,[],[],27874.955,143.498,14531.202,275.27,3.697,4000,4000,42.11639344262294,76.24262295081967,0.0,0.2,5e-05,0.0004699593991972506,-0.012611117912456393,0.010063871915917844,0.38336977,0.015086017141584307,1.5941571034491062,0.0
-0.09520000000000067,-0.09520000000000067,-0.09520000000000067,5002.0,1,1,8000,False,1,2,ba73a0bdcfbe436d9b21f88e074c842a,2021-05-04_19-55-12,1620125712,42.50320553779602,84.92299580574036,14027,Hinton,143.248.157.211,84.92299580574036,0,2,f80e6_00000,[-0.09520000000000067],[5002],27612.328,144.863,14836.187,269.611,4.221,8000,8000,43.160655737704914,80.46721311475407,0.0,0.2,5e-05,-0.0197042096988298,-0.025723064492922276,0.0015594506076013204,0.44492632,0.022297017043456435,1.580897904932499,0.0
-0.09520000000000067,-0.11580000000000126,-0.10550000000000097,5002.0,1,1,12000,False,2,3,ba73a0bdcfbe436d9b21f88e074c842a,2021-05-04_19-55-56,1620125756,43.997259855270386,128.92025566101074,14027,Hinton,143.248.157.211,128.92025566101074,0,3,f80e6_00000,"[-0.11580000000000126, -0.09520000000000067]","[5002, 5002]",28032.122,142.693,14928.302,267.947,3.983,12000,12000,43.91774193548388,80.49032258064516,0.0,0.30000000000000004,5e-05,-0.015318636607844383,-0.023597927764058113,0.0025352765078423545,0.45463282,0.019146715465467423,1.5451740846037865,0.0
-0.09520000000000067,-0.11580000000000126,-0.10386666666666759,5002.0,1,1,16000,False,3,4,ba73a0bdcfbe436d9b21f88e074c842a,2021-05-04_19-56-37,1620125797,41.0635941028595,169.98384976387024,14027,Hinton,143.248.157.211,169.98384976387024,0,4,f80e6_00000,"[-0.10060000000000083, -0.09520000000000067, -0.11580000000000126]","[5002, 5002, 5002]",27739.993,144.196,14742.923,271.317,4.075,16000,16000,42.7593220338983,80.5,0.0,0.30000000000000004,5e-05,-0.02138172648847103,-0.02829356351867318,0.0012265176519576926,0.6244109,0.018951077305246145,1.5289773717522621,0.0
-0.09520000000000067,-0.11580000000000126,-0.10386666666666759,5002.0,0,1,20000,False,3,5,ba73a0bdcfbe436d9b21f88e074c842a,2021-05-04_19-57-17,1620125837,39.92785620689392,209.91170597076416,14027,Hinton,143.248.157.211,209.91170597076416,0,5,f80e6_00000,"[-0.09520000000000067, -0.11580000000000126, -0.10060000000000083]","[5002, 5002, 5002]",27369.601,146.148,14599.937,273.974,4.089,20000,20000,43.14561403508772,80.5,0.0,0.30000000000000004,5e-05,-0.009424537420272827,-0.012762760859914124,0.00017940482393896673,0.1288178,0.01052939091459848,1.511383295059204,0.0
0.0,-0.11580000000000126,-0.07790000000000069,5002.0,1,1,24000,False,4,6,ba73a0bdcfbe436d9b21f88e074c842a,2021-05-04_19-57-57,1620125877,40.17877125740051,250.09047722816467,14027,Hinton,143.248.157.211,250.09047722816467,0,6,f80e6_00000,"[0.0, -0.09520000000000067, -0.11580000000000126, -0.10060000000000083]","[5002, 5002, 5002, 5002]",27144.988,147.357,14524.156,275.403,4.093,24000,24000,43.75087719298246,80.5,0.0,0.30000000000000004,5e-05,-0.02570979081792757,-0.03129449218977243,0.0003475496228020347,0.302334,0.017457175737945363,1.467994675040245,0.0
0.0,-0.11580000000000126,-0.06564000000000056,5002.0,1,1,28000,False,5,7,ba73a0bdcfbe436d9b21f88e074c842a,2021-05-04_19-58-35,1620125915,38.203293561935425,288.2937707901001,14027,Hinton,143.248.157.211,288.2937707901001,0,7,f80e6_00000,"[-0.01660000000000001, -0.09520000000000067, -0.11580000000000126, -0.10060000000000083, 0.0]","[5002, 5002, 5002, 5002, 5002]",26749.604,149.535,14422.701,277.341,4.277,28000,28000,42.08363636363636,80.50363636363637,0.0,0.30000000000000004,5e-05,-0.007556572032626718,-0.011567142384592444,0.0006405484514289128,0.69155127,0.011233411642024294,1.4604256972670555,0.0
0.0,-0.40299999999998826,-0.12186666666666518,5002.0,1,1,32000,False,6,8,ba73a0bdcfbe436d9b21f88e074c842a,2021-05-04_19-59-15,1620125955,39.66901898384094,327.96278977394104,14027,Hinton,143.248.157.211,327.96278977394104,0,8,f80e6_00000,"[-0.40299999999998826, -0.09520000000000067, -0.11580000000000126, -0.10060000000000083, 0.0, -0.01660000000000001]","[5002, 5002, 5002, 5002, 5002, 5002]",26594.222,150.409,14388.641,277.997,4.185,32000,32000,41.89824561403508,80.50526315789472,0.0,0.30000000000000004,5e-05,-0.0069316301960498095,-0.010017753520514816,0.0005106848980176437,0.302535,0.008584784460254014,1.45810928940773,0.0
0.0,-0.40299999999998826,-0.10445714285714157,5002.0,1,1,36000,False,7,9,ba73a0bdcfbe436d9b21f88e074c842a,2021-05-04_19-59-56,1620125996,40.75967001914978,368.7224597930908,14027,Hinton,143.248.157.211,368.7224597930908,0,9,f80e6_00000,"[0.0, -0.09520000000000067, -0.11580000000000126, -0.10060000000000083, 0.0, -0.01660000000000001, -0.40299999999998826]","[5002, 5002, 5002, 5002, 5002, 5002, 5002]",26609.278,150.324,14347.483,278.795,4.106,36000,36000,43.71379310344827,80.52586206896552,0.0,0.30000000000000004,5e-05,-0.019363070547115058,-0.022428790049161762,1.7856208529565265e-05,0.2498662,0.010159533616388217,1.4669819884002209,0.0
0.0,-0.40299999999998826,-0.10445714285714157,5002.0,0,1,40000,False,7,10,ba73a0bdcfbe436d9b21f88e074c842a,2021-05-04_20-00-36,1620126036,40.39813995361328,409.1205997467041,14027,Hinton,143.248.157.211,409.1205997467041,0,10,f80e6_00000,"[-0.09520000000000067, -0.11580000000000126, -0.10060000000000083, 0.0, -0.01660000000000001, -0.40299999999998826, 0.0]","[5002, 5002, 5002, 5002, 5002, 5002, 5002]",26548.243,150.669,14351.567,278.715,4.033,40000,40000,41.97368421052632,80.56315789473685,0.0,0.30000000000000004,5e-05,-0.029979383922182024,-0.03295962105039507,2.2281620658759493e-05,0.61450565,0.009859854384558275,1.4496997743844986,0.0
