episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,done,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,hist_stats/episode_reward,hist_stats/episode_lengths,timers/sample_time_ms,timers/sample_throughput,timers/learn_time_ms,timers/learn_throughput,info/num_steps_sampled,info/num_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,info/learner/pol/allreduce_latency,info/learner/pol/cur_kl_coeff,info/learner/pol/cur_lr,info/learner/pol/total_loss,info/learner/pol/policy_loss,info/learner/pol/vf_loss,info/learner/pol/vf_explained_var,info/learner/pol/kl,info/learner/pol/entropy,info/learner/pol/entropy_coeff
0.0,-1.0,-0.6666666666666666,3608.4166666666665,1,0,44000,False,12,11,be0aefa5bd0a485994c03e184dc961db,2021-04-30_18-17-24,1619774244,88.20031571388245,835.7297718524933,46748,Hinton,143.248.157.211,835.7297718524933,0,11,e55d3_00000,"[0.0, -1.0, -1.0, -1.0, -1.0, 0.0, -1.0, -1.0, -1.0, -1.0, 0.0, 0.0]","[5002, 4177, 3996, 2147, 1191, 5002, 4523, 2196, 3340, 1723, 5002, 5002]",51646.897,77.449,25961.086,154.077,44000,44000,54.032,72.52480000000001,0.0,0.22500000000000003,5e-05,-0.00013599084923043847,-0.0017498607630841434,1.3074300646565007e-06,0.013495704,0.007166935261921026,1.5740231461822987,0.0
0.0,-1.0,-0.6666666666666666,3608.4166666666665,0,0,48000,False,12,12,be0aefa5bd0a485994c03e184dc961db,2021-04-30_18-18-52,1619774332,88.85304045677185,924.5828123092651,46748,Hinton,143.248.157.211,924.5828123092651,0,12,e55d3_00000,"[-1.0, -1.0, -1.0, -1.0, 0.0, -1.0, -1.0, -1.0, -1.0, 0.0, 0.0, 0.0]","[4177, 3996, 2147, 1191, 5002, 4523, 2196, 3340, 1723, 5002, 5002, 5002]",53362.77,74.959,26410.128,151.457,48000,48000,55.1095238095238,72.52222222222224,0.0,0.22500000000000003,5e-05,-0.004060534120071679,-0.006558769498951733,1.751813716310835e-06,-0.01706462,0.011095476133050397,1.5428820699453354,0.0
0.0,-1.0,-0.6153846153846154,3715.6153846153848,1,0,52000,False,13,13,be0aefa5bd0a485994c03e184dc961db,2021-04-30_18-20-25,1619774425,92.31935238838196,1016.9021646976471,46748,Hinton,143.248.157.211,1016.9021646976471,0,13,e55d3_00000,"[0.0, -1.0, -1.0, -1.0, -1.0, 0.0, -1.0, -1.0, -1.0, -1.0, 0.0, 0.0, 0.0]","[5002, 4177, 3996, 2147, 1191, 5002, 4523, 2196, 3340, 1723, 5002, 5002, 5002]",54955.891,72.786,27460.77,145.662,52000,52000,54.270992366412216,72.70076335877862,0.0,0.22500000000000003,5e-05,-0.009955130983144045,-0.013523297617211938,5.356228379715944e-07,-0.78885853,0.015856146259466186,1.5325449481606483,0.0
0.0,-1.0,-0.5714285714285714,3807.5,1,0,56000,False,14,14,be0aefa5bd0a485994c03e184dc961db,2021-04-30_18-22-02,1619774522,97.2780191898346,1114.1801838874817,46748,Hinton,143.248.157.211,1114.1801838874817,0,14,e55d3_00000,"[0.0, -1.0, -1.0, -1.0, -1.0, 0.0, -1.0, -1.0, -1.0, -1.0, 0.0, 0.0, 0.0, 0.0]","[5002, 4177, 3996, 2147, 1191, 5002, 4523, 2196, 3340, 1723, 5002, 5002, 5002, 5002]",56547.772,70.737,28952.259,138.158,56000,56000,54.9568345323741,72.49640287769785,0.0,0.22500000000000003,5e-05,-0.010277489200234413,-0.01337662007426843,3.7881601642197893e-06,0.253995,0.013757077540503815,1.519540298730135,0.0
0.0,-1.0,-0.6666666666666666,3298.3333333333335,4,0,60000,False,18,15,be0aefa5bd0a485994c03e184dc961db,2021-04-30_18-23-37,1619774617,95.25914478302002,1209.4393286705017,46748,Hinton,143.248.157.211,1209.4393286705017,0,15,e55d3_00000,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 0.0, -1.0, -1.0, -1.0, -1.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[3780, 981, 561, 743, 4177, 3996, 2147, 1191, 5002, 4523, 2196, 3340, 1723, 5002, 5002, 5002, 5002, 5002]",57926.09,69.054,30390.979,131.618,60000,60000,55.242222222222225,72.48444444444443,0.0,0.22500000000000003,5e-05,-0.0010118842183146626,-0.00969825466745533,0.0069949302123859525,0.82650197,0.007517514153732918,1.5024003572762012,0.0
0.0,-1.0,-0.7142857142857143,2956.4285714285716,3,0,64000,False,21,16,be0aefa5bd0a485994c03e184dc961db,2021-04-30_18-25-01,1619774701,83.92355227470398,1293.3628809452057,46748,Hinton,143.248.157.211,1293.3628809452057,0,16,e55d3_00000,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 0.0, -1.0, -1.0, -1.0, -1.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.0, -1.0, -1.0, -1.0]","[1047, 991, 677, 4177, 3996, 2147, 1191, 5002, 4523, 2196, 3340, 1723, 5002, 5002, 5002, 5002, 5002, 3780, 981, 561, 743]",58917.119,67.892,30504.222,131.129,64000,64000,55.53109243697479,72.49243697478992,0.0,0.22500000000000003,5e-05,-0.003306776925455779,-0.01822395296767354,0.011770848388550803,0.5713053,0.013983678072690964,1.4902976974844933,0.0
0.0,-1.0,-0.7391304347826086,2894.0434782608695,2,0,68000,False,23,17,be0aefa5bd0a485994c03e184dc961db,2021-04-30_18-26-23,1619774783,81.06889843940735,1374.431779384613,46748,Hinton,143.248.157.211,1374.431779384613,0,17,e55d3_00000,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 0.0, -1.0, -1.0, -1.0, -1.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]","[2875, 1603, 4177, 3996, 2147, 1191, 5002, 4523, 2196, 3340, 1723, 5002, 5002, 5002, 5002, 5002, 3780, 981, 561, 743, 1047, 991, 677]",58779.774,68.051,30141.714,132.706,68000,68000,53.29217391304347,72.96521739130435,0.0,0.22500000000000003,5e-05,-0.000806671887403354,-0.02137303596828133,0.017630405447562225,0.1486964,0.013048707158304751,1.4619868844747543,0.0
0.0,-1.0,-0.7083333333333334,2981.875,1,0,72000,False,24,18,be0aefa5bd0a485994c03e184dc961db,2021-04-30_18-27-49,1619774869,86.62119936943054,1461.0529787540436,46748,Hinton,143.248.157.211,1461.0529787540436,0,18,e55d3_00000,"[0.0, -1.0, -1.0, -1.0, -1.0, 0.0, -1.0, -1.0, -1.0, -1.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]","[5002, 4177, 3996, 2147, 1191, 5002, 4523, 2196, 3340, 1723, 5002, 5002, 5002, 5002, 5002, 3780, 981, 561, 743, 1047, 991, 677, 2875, 1603]",58500.346,68.376,30327.011,131.896,72000,72000,54.108130081300814,72.7471544715447,0.0,0.22500000000000003,5e-05,-0.004367139656096697,-0.010692391486372799,0.004121431120438501,0.14377007,0.0097947627218673,1.443164311349392,0.0
0.0,-1.0,-0.72,2956.68,1,0,76000,False,25,19,be0aefa5bd0a485994c03e184dc961db,2021-04-30_18-29-14,1619774954,84.70749998092651,1545.76047873497,46748,Hinton,143.248.157.211,1545.76047873497,0,19,e55d3_00000,"[-1.0, -1.0, -1.0, -1.0, -1.0, 0.0, -1.0, -1.0, -1.0, -1.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 0.0]","[2352, 4177, 3996, 2147, 1191, 5002, 4523, 2196, 3340, 1723, 5002, 5002, 5002, 5002, 5002, 3780, 981, 561, 743, 1047, 991, 677, 2875, 1603, 5002]",58107.331,68.838,30378.471,131.672,76000,76000,53.68264462809916,72.90743801652891,0.0,0.22500000000000003,5e-05,-0.008123451756546274,-0.02103399293264374,0.00970140830395394,-0.06838848,0.014262806565966457,1.4046274237334728,0.0
0.0,-1.0,-0.6923076923076923,3035.346153846154,1,0,80000,False,26,20,be0aefa5bd0a485994c03e184dc961db,2021-04-30_18-30-36,1619775036,81.74821996688843,1627.5086987018585,46748,Hinton,143.248.157.211,1627.5086987018585,0,20,e55d3_00000,"[0.0, -1.0, -1.0, -1.0, -1.0, 0.0, -1.0, -1.0, -1.0, -1.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 0.0, -1.0]","[5002, 4177, 3996, 2147, 1191, 5002, 4523, 2196, 3340, 1723, 5002, 5002, 5002, 5002, 5002, 3780, 981, 561, 743, 1047, 991, 677, 2875, 1603, 5002, 2352]",57891.052,69.095,30105.071,132.868,80000,80000,54.09741379310345,72.72155172413792,0.0,0.22500000000000003,5e-05,-0.012460444355383515,-0.016159779275767505,0.0001075157319974096,0.09238683,0.015963637473760173,1.3908034563064575,0.0
