episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,done,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,hist_stats/episode_reward,hist_stats/episode_lengths,timers/sample_time_ms,timers/sample_throughput,timers/learn_time_ms,timers/learn_throughput,info/num_steps_sampled,info/num_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,info/learner/pol/allreduce_latency,info/learner/pol/cur_kl_coeff,info/learner/pol/cur_lr,info/learner/pol/total_loss,info/learner/pol/policy_loss,info/learner/pol/vf_loss,info/learner/pol/vf_explained_var,info/learner/pol/kl,info/learner/pol/entropy,info/learner/pol/entropy_coeff
nan,nan,nan,nan,0,0,4000,False,0,1,0eb87c964cac4918b568d5a703749b48,2021-04-30_18-04-48,1619773488,59.68043923377991,59.68043923377991,48986,Hinton,143.248.157.211,59.68043923377991,0,1,f1927_00000,[],[],37936.753,105.439,21742.859,183.968,4000,4000,35.228235294117646,58.91294117647058,0.0,0.2,5e-05,-0.025437221687752753,-0.036745205405168235,0.0038198355396161787,0.51187986,0.03744073968846351,1.5719700381159782,0.0
0.004000000000000001,-1.0,-0.749,1982.5,4,0,8000,False,4,2,0eb87c964cac4918b568d5a703749b48,2021-04-30_18-05-52,1619773552,63.64725375175476,123.32769298553467,48986,Hinton,143.248.157.211,123.32769298553467,0,2,f1927_00000,"[0.004000000000000001, -1.0, -1.0, -1.0]","[5002, 1957, 695, 276]",39540.062,101.163,22122.498,180.811,8000,8000,36.94835164835165,61.79560439560439,0.0,0.30000000000000004,5e-05,-0.0017944135470315814,-0.017970894870813936,0.012084416230209172,0.590873,0.013640215009218082,1.575863342732191,0.0
0.004000000000000001,-1.0,-0.749,1982.5,0,0,12000,False,4,3,0eb87c964cac4918b568d5a703749b48,2021-04-30_18-06-58,1619773618,66.47105240821838,189.79874539375305,48986,Hinton,143.248.157.211,189.79874539375305,0,3,f1927_00000,"[0.004000000000000001, -1.0, -1.0, -1.0]","[5002, 1957, 695, 276]",39848.461,100.38,23416.407,170.82,12000,12000,38.56489361702128,62.51063829787234,0.0,0.30000000000000004,5e-05,-0.007727469885139726,-0.011833712487714365,0.00042154203219979536,0.47663268,0.012282336771022528,1.5725167654454708,0.0
0.004000000000000001,-1.0,-0.8318333333333333,2468.5,2,0,16000,False,6,4,0eb87c964cac4918b568d5a703749b48,2021-04-30_18-08-03,1619773683,63.99842548370361,253.79717087745667,48986,Hinton,143.248.157.211,253.79717087745667,0,4,f1927_00000,"[-0.9968, -0.9982, 0.004000000000000001, -1.0, -1.0, -1.0]","[4185, 2696, 5002, 1957, 695, 276]",39672.102,100.827,23775.79,168.238,16000,16000,35.935164835164834,61.98351648351648,0.0,0.30000000000000004,5e-05,0.004014368081698194,-0.0009724443661980331,0.0035441227939827513,0.72726727,0.004808958365174476,1.5721272677183151,0.0
0.0044,-1.0,-0.7123714285714285,2830.4285714285716,1,0,20000,False,7,5,0eb87c964cac4918b568d5a703749b48,2021-04-30_18-09-05,1619773745,62.72116541862488,316.51833629608154,48986,Hinton,143.248.157.211,316.51833629608154,0,5,f1927_00000,"[0.0044, 0.004000000000000001, -1.0, -1.0, -1.0, -0.9968, -0.9982]","[5002, 5002, 1957, 695, 276, 4185, 2696]",39602.036,101.005,23700.161,168.775,20000,20000,36.68888888888889,62.13000000000001,0.0,0.15000000000000002,5e-05,-0.016728437738493085,-0.021468947466928512,8.983684651298063e-06,0.26556888,0.03154352941783145,1.5572700314223766,0.0
0.0044,-1.0,-0.7481,2820.125,1,0,24000,False,8,6,0eb87c964cac4918b568d5a703749b48,2021-04-30_18-10-15,1619773815,69.88269782066345,386.401034116745,48986,Hinton,143.248.157.211,386.401034116745,0,6,f1927_00000,"[-0.9982, 0.004000000000000001, -1.0, -1.0, -1.0, -0.9968, -0.9982, 0.0044]","[2748, 5002, 1957, 695, 276, 4185, 2696, 5002]",40516.88,98.724,23881.785,167.492,24000,24000,46.912121212121214,66.58484848484848,0.0,0.22500000000000003,5e-05,-0.0031488652457483113,-0.02606968197505921,0.018204114952823147,0.46340027,0.020963117480278015,1.4972289390861988,0.0
0.0044,-1.0,-0.8656533333333335,1838.1333333333334,7,0,28000,False,15,7,0eb87c964cac4918b568d5a703749b48,2021-04-30_18-11-37,1619773897,81.44231295585632,467.8433470726013,48986,Hinton,143.248.157.211,467.8433470726013,0,7,f1927_00000,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 0.004000000000000001, -1.0, -1.0, -1.0, -0.9968, -0.9982, 0.0044, -0.9982]","[1712, 396, 425, 452, 359, 1118, 549, 5002, 1957, 695, 276, 4185, 2696, 5002, 2748]",42310.314,94.54,24522.937,163.113,28000,28000,53.772413793103446,71.85344827586206,0.0,0.3375,5e-05,0.008038201543968171,-0.020569825661368668,0.025310765951871872,0.6254266,0.009769661875907332,1.4823337234556675,0.0
0.0044,-1.0,-0.9040380952380952,1510.142857142857,6,0,32000,False,21,8,0eb87c964cac4918b568d5a703749b48,2021-04-30_18-13-01,1619773981,83.85197448730469,551.695321559906,48986,Hinton,143.248.157.211,551.695321559906,0,8,f1927_00000,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 0.004000000000000001, -1.0, -1.0, -1.0, -0.9968, -0.9982, 0.0044, -0.9982, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]","[666, 279, 1467, 577, 583, 569, 5002, 1957, 695, 276, 4185, 2696, 5002, 2748, 1712, 396, 425, 452, 359, 1118, 549]",43960.514,90.991,24999.777,160.001,32000,32000,54.63781512605042,72.89747899159663,0.0,0.3375,5e-05,0.0016487562679685652,-0.028236969345016405,0.022269945067819208,0.6516135,0.02256527269491926,1.4861124567687511,0.0
0.0044,-1.0,-0.9084,1480.5454545454545,1,0,36000,False,22,9,0eb87c964cac4918b568d5a703749b48,2021-04-30_18-14-23,1619774063,82.45678424835205,634.152105808258,48986,Hinton,143.248.157.211,634.152105808258,0,9,f1927_00000,"[-1.0, 0.004000000000000001, -1.0, -1.0, -1.0, -0.9968, -0.9982, 0.0044, -0.9982, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]","[859, 5002, 1957, 695, 276, 4185, 2696, 5002, 2748, 1712, 396, 425, 452, 359, 1118, 549, 666, 279, 1467, 577, 583, 569]",45208.483,88.479,25251.181,158.408,36000,36000,54.61794871794872,72.75299145299142,0.0,0.5062500000000001,5e-05,-0.013537116930820048,-0.0247494257055223,0.00479058685596101,0.7487412,0.012684885849012062,1.5273534394800663,0.0
0.005599999999999998,-1.0,-0.8686608695652174,1633.6521739130435,1,0,40000,False,23,10,0eb87c964cac4918b568d5a703749b48,2021-04-30_18-15-48,1619774148,84.3843035697937,718.5364093780518,48986,Hinton,143.248.157.211,718.5364093780518,0,10,f1927_00000,"[0.005599999999999998, 0.004000000000000001, -1.0, -1.0, -1.0, -0.9968, -0.9982, 0.0044, -0.9982, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]","[5002, 5002, 1957, 695, 276, 4185, 2696, 5002, 2748, 1712, 396, 425, 452, 359, 1118, 549, 666, 279, 1467, 577, 583, 569, 859]",46210.665,86.56,25641.315,155.998,40000,40000,54.10583333333333,72.77916666666665,0.0,0.5062500000000001,5e-05,-0.013721463736146688,-0.017621730570681393,0.00020823956174353953,0.3238588,0.007292893555131741,1.518839541822672,0.0
