episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,done,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,policy_reward_min/pol,policy_reward_max/pol,policy_reward_mean/pol,hist_stats/episode_reward,hist_stats/episode_lengths,hist_stats/policy_pol_reward,sampler_perf/mean_env_wait_ms,sampler_perf/mean_raw_obs_processing_ms,sampler_perf/mean_inference_ms,sampler_perf/mean_action_processing_ms,timers/sample_time_ms,timers/sample_throughput,timers/learn_time_ms,timers/learn_throughput,info/num_steps_sampled,info/num_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,info/learner/pol/allreduce_latency,info/learner/pol/cur_kl_coeff,info/learner/pol/cur_lr,info/learner/pol/total_loss,info/learner/pol/policy_loss,info/learner/pol/vf_loss,info/learner/pol/vf_explained_var,info/learner/pol/kl,info/learner/pol/entropy,info/learner/pol/entropy_coeff
-0.997,-0.999,-0.9980585365853657,95.60975609756098,41,0,4000,False,41,1,f3370e1a17914382a1d426f59ab48488,2021-04-30_18-05-26,1619773526,64.47858762741089,64.47858762741089,3695,Hinton,143.248.157.211,64.47858762741089,0,1,04181_00000,-0.999,-0.997,-0.9980585365853657,"[-0.998, -0.9976, -0.9982, -0.9976, -0.9982, -0.9974, -0.9982, -0.998, -0.9982, -0.9986, -0.9982, -0.9984, -0.9976, -0.9982, -0.9984, -0.9974, -0.9984, -0.9986, -0.9984, -0.9982, -0.9984, -0.9974, -0.9984, -0.9976, -0.998, -0.997, -0.9978, -0.9976, -0.9986, -0.999, -0.999, -0.9978, -0.9986, -0.9974, -0.998, -0.9986, -0.998, -0.9976, -0.9982, -0.998, -0.9976]","[110, 98, 99, 94, 103, 95, 93, 97, 86, 100, 88, 88, 107, 100, 95, 94, 95, 91, 88, 99, 88, 87, 88, 82, 98, 99, 93, 104, 104, 105, 110, 100, 94, 102, 87, 104, 98, 97, 90, 83, 87]","[-0.998, -0.9976, -0.9982, -0.9976, -0.9982, -0.9974, -0.9982, -0.998, -0.9982, -0.9986, -0.9982, -0.9984, -0.9976, -0.9982, -0.9984, -0.9974, -0.9984, -0.9986, -0.9984, -0.9982, -0.9984, -0.9974, -0.9984, -0.9976, -0.998, -0.997, -0.9978, -0.9976, -0.9986, -0.999, -0.999, -0.9978, -0.9986, -0.9974, -0.998, -0.9986, -0.998, -0.9976, -0.9982, -0.998, -0.9976]",1.4424859747473104,5.754271855028949,2.7932896074191595,0.05167122335321931,40264.672,99.343,24212.173,165.206,4000,4000,36.71304347826087,61.5195652173913,0.0,0.2,5e-05,0.036242209578631446,-0.016822619130834937,0.0473999796085991,0.3945198,0.028324248734861612,1.5802655629813671,0.0
-0.997,-0.999,-0.9980285714285716,94.54761904761905,43,0,8000,False,84,2,f3370e1a17914382a1d426f59ab48488,2021-04-30_18-06-30,1619773590,63.492536783218384,127.97112441062927,3695,Hinton,143.248.157.211,127.97112441062927,0,2,04181_00000,-0.999,-0.997,-0.9980285714285716,"[-0.998, -0.9982, -0.9976, -0.9976, -0.9978, -0.9984, -0.9978, -0.998, -0.9978, -0.9982, -0.9978, -0.9976, -0.9976, -0.9986, -0.9976, -0.9978, -0.9982, -0.9974, -0.998, -0.998, -0.9978, -0.9984, -0.9986, -0.998, -0.9972, -0.9984, -0.9982, -0.9976, -0.9978, -0.9982, -0.9982, -0.9984, -0.9982, -0.9982, -0.9986, -0.9988, -0.9982, -0.9972, -0.998, -0.9978, -0.9978, -0.998, -0.9984, -0.998, -0.9976, -0.9982, -0.9976, -0.9982, -0.9974, -0.9982, -0.998, -0.9982, -0.9986, -0.9982, -0.9984, -0.9976, -0.9982, -0.9984, -0.9974, -0.9984, -0.9986, -0.9984, -0.9982, -0.9984, -0.9974, -0.9984, -0.9976, -0.998, -0.997, -0.9978, -0.9976, -0.9986, -0.999, -0.999, -0.9978, -0.9986, -0.9974, -0.998, -0.9986, -0.998, -0.9976, -0.9982, -0.998, -0.9976]","[82, 92, 105, 95, 92, 80, 88, 97, 103, 100, 89, 98, 93, 100, 97, 107, 100, 96, 87, 83, 100, 88, 95, 94, 84, 94, 98, 104, 95, 89, 74, 92, 92, 93, 97, 100, 84, 93, 95, 95, 93, 96, 93, 110, 98, 99, 94, 103, 95, 93, 97, 86, 100, 88, 88, 107, 100, 95, 94, 95, 91, 88, 99, 88, 87, 88, 82, 98, 99, 93, 104, 104, 105, 110, 100, 94, 102, 87, 104, 98, 97, 90, 83, 87]","[-0.998, -0.9982, -0.9976, -0.9976, -0.9978, -0.9984, -0.9978, -0.998, -0.9978, -0.9982, -0.9978, -0.9976, -0.9976, -0.9986, -0.9976, -0.9978, -0.9982, -0.9974, -0.998, -0.998, -0.9978, -0.9984, -0.9986, -0.998, -0.9972, -0.9984, -0.9982, -0.9976, -0.9978, -0.9982, -0.9982, -0.9984, -0.9982, -0.9982, -0.9986, -0.9988, -0.9982, -0.9972, -0.998, -0.9978, -0.9978, -0.998, -0.9984, -0.998, -0.9976, -0.9982, -0.9976, -0.9982, -0.9974, -0.9982, -0.998, -0.9982, -0.9986, -0.9982, -0.9984, -0.9976, -0.9982, -0.9984, -0.9974, -0.9984, -0.9986, -0.9984, -0.9982, -0.9984, -0.9974, -0.9984, -0.9976, -0.998, -0.997, -0.9978, -0.9976, -0.9986, -0.999, -0.999, -0.9978, -0.9986, -0.9974, -0.998, -0.9986, -0.998, -0.9976, -0.9982, -0.998, -0.9976]",1.4406740570674665,5.756732533151115,2.8577957699228076,0.05161310124798899,40762.978,98.128,23220.718,172.26,8000,8000,38.52666666666667,62.30666666666666,0.0,0.30000000000000004,5e-05,-0.0034809184726327658,-0.017521746747661382,0.008686890272656456,0.79842293,0.01784644741564989,1.556415930390358,0.0
-0.9964,-0.999,-0.99797,96.16,41,0,12000,False,125,3,f3370e1a17914382a1d426f59ab48488,2021-04-30_18-07-34,1619773654,64.51692199707031,192.48804640769958,3695,Hinton,143.248.157.211,192.48804640769958,0,3,04181_00000,-0.999,-0.9964,-0.99797,"[-0.9976, -0.9982, -0.9974, -0.9974, -0.998, -0.998, -0.998, -0.9982, -0.9984, -0.9984, -0.9976, -0.9976, -0.998, -0.9984, -0.9982, -0.9964, -0.9982, -0.9974, -0.9976, -0.9984, -0.9974, -0.9986, -0.9976, -0.9982, -0.9972, -0.9982, -0.998, -0.9974, -0.9978, -0.9986, -0.9986, -0.9982, -0.998, -0.9982, -0.9982, -0.9984, -0.9982, -0.998, -0.998, -0.9966, -0.9974, -0.997, -0.9978, -0.9976, -0.9986, -0.999, -0.999, -0.9978, -0.9986, -0.9974, -0.998, -0.9986, -0.998, -0.9976, -0.9982, -0.998, -0.9976, -0.998, -0.9982, -0.9976, -0.9976, -0.9978, -0.9984, -0.9978, -0.998, -0.9978, -0.9982, -0.9978, -0.9976, -0.9976, -0.9986, -0.9976, -0.9978, -0.9982, -0.9974, -0.998, -0.998, -0.9978, -0.9984, -0.9986, -0.998, -0.9972, -0.9984, -0.9982, -0.9976, -0.9978, -0.9982, -0.9982, -0.9984, -0.9982, -0.9982, -0.9986, -0.9988, -0.9982, -0.9972, -0.998, -0.9978, -0.9978, -0.998, -0.9984]","[92, 94, 94, 99, 95, 93, 104, 91, 101, 97, 96, 99, 109, 104, 95, 107, 101, 99, 96, 98, 114, 100, 96, 94, 100, 95, 101, 90, 98, 90, 110, 104, 95, 96, 96, 98, 95, 95, 100, 108, 98, 99, 93, 104, 104, 105, 110, 100, 94, 102, 87, 104, 98, 97, 90, 83, 87, 82, 92, 105, 95, 92, 80, 88, 97, 103, 100, 89, 98, 93, 100, 97, 107, 100, 96, 87, 83, 100, 88, 95, 94, 84, 94, 98, 104, 95, 89, 74, 92, 92, 93, 97, 100, 84, 93, 95, 95, 93, 96, 93]","[-0.9976, -0.9982, -0.9974, -0.9974, -0.998, -0.998, -0.998, -0.9982, -0.9984, -0.9984, -0.9976, -0.9976, -0.998, -0.9984, -0.9982, -0.9964, -0.9982, -0.9974, -0.9976, -0.9984, -0.9974, -0.9986, -0.9976, -0.9982, -0.9972, -0.9982, -0.998, -0.9974, -0.9978, -0.9986, -0.9986, -0.9982, -0.998, -0.9982, -0.9982, -0.9984, -0.9982, -0.998, -0.998, -0.9966, -0.9974, -0.997, -0.9978, -0.9976, -0.9986, -0.999, -0.999, -0.9978, -0.9986, -0.9974, -0.998, -0.9986, -0.998, -0.9976, -0.9982, -0.998, -0.9976, -0.998, -0.9982, -0.9976, -0.9976, -0.9978, -0.9984, -0.9978, -0.998, -0.9978, -0.9982, -0.9978, -0.9976, -0.9976, -0.9986, -0.9976, -0.9978, -0.9982, -0.9974, -0.998, -0.998, -0.9978, -0.9984, -0.9986, -0.998, -0.9972, -0.9984, -0.9982, -0.9976, -0.9978, -0.9982, -0.9982, -0.9984, -0.9982, -0.9982, -0.9986, -0.9988, -0.9982, -0.9972, -0.998, -0.9978, -0.9978, -0.998, -0.9984]",1.4400918269905758,5.755156375692746,2.986917468726101,0.05162519013621017,41594.144,96.167,22566.588,177.253,12000,12000,36.49565217391304,62.12065217391304,0.0,0.30000000000000004,5e-05,-0.00022830668604001403,-0.012004780030110851,0.00789633349631913,0.85095394,0.012933790538227186,1.5587971955537796,0.0
-0.9964,-0.9988,-0.997944,99.13,39,0,16000,False,164,4,f3370e1a17914382a1d426f59ab48488,2021-04-30_18-08-38,1619773718,63.75092577934265,256.23897218704224,3695,Hinton,143.248.157.211,256.23897218704224,0,4,04181_00000,-0.9988,-0.9964,-0.997944,"[-0.998, -0.9984, -0.9976, -0.9974, -0.9984, -0.9974, -0.998, -0.9978, -0.9984, -0.9986, -0.998, -0.9978, -0.9982, -0.9986, -0.9986, -0.9978, -0.9972, -0.9978, -0.9976, -0.9974, -0.9986, -0.9982, -0.9978, -0.9974, -0.9982, -0.9984, -0.9978, -0.9978, -0.9976, -0.9978, -0.9984, -0.9974, -0.9982, -0.998, -0.997, -0.9974, -0.9984, -0.998, -0.9976, -0.998, -0.9972, -0.9984, -0.9982, -0.9976, -0.9978, -0.9982, -0.9982, -0.9984, -0.9982, -0.9982, -0.9986, -0.9988, -0.9982, -0.9972, -0.998, -0.9978, -0.9978, -0.998, -0.9984, -0.9976, -0.9982, -0.9974, -0.9974, -0.998, -0.998, -0.998, -0.9982, -0.9984, -0.9984, -0.9976, -0.9976, -0.998, -0.9984, -0.9982, -0.9964, -0.9982, -0.9974, -0.9976, -0.9984, -0.9974, -0.9986, -0.9976, -0.9982, -0.9972, -0.9982, -0.998, -0.9974, -0.9978, -0.9986, -0.9986, -0.9982, -0.998, -0.9982, -0.9982, -0.9984, -0.9982, -0.998, -0.998, -0.9966, -0.9974]","[93, 95, 101, 104, 106, 97, 118, 111, 106, 110, 112, 106, 96, 98, 96, 101, 96, 106, 112, 109, 95, 106, 99, 106, 114, 101, 107, 107, 99, 104, 95, 107, 97, 101, 101, 96, 107, 103, 103, 94, 84, 94, 98, 104, 95, 89, 74, 92, 92, 93, 97, 100, 84, 93, 95, 95, 93, 96, 93, 92, 94, 94, 99, 95, 93, 104, 91, 101, 97, 96, 99, 109, 104, 95, 107, 101, 99, 96, 98, 114, 100, 96, 94, 100, 95, 101, 90, 98, 90, 110, 104, 95, 96, 96, 98, 95, 95, 100, 108, 98]","[-0.998, -0.9984, -0.9976, -0.9974, -0.9984, -0.9974, -0.998, -0.9978, -0.9984, -0.9986, -0.998, -0.9978, -0.9982, -0.9986, -0.9986, -0.9978, -0.9972, -0.9978, -0.9976, -0.9974, -0.9986, -0.9982, -0.9978, -0.9974, -0.9982, -0.9984, -0.9978, -0.9978, -0.9976, -0.9978, -0.9984, -0.9974, -0.9982, -0.998, -0.997, -0.9974, -0.9984, -0.998, -0.9976, -0.998, -0.9972, -0.9984, -0.9982, -0.9976, -0.9978, -0.9982, -0.9982, -0.9984, -0.9982, -0.9982, -0.9986, -0.9988, -0.9982, -0.9972, -0.998, -0.9978, -0.9978, -0.998, -0.9984, -0.9976, -0.9982, -0.9974, -0.9974, -0.998, -0.998, -0.998, -0.9982, -0.9984, -0.9984, -0.9976, -0.9976, -0.998, -0.9984, -0.9982, -0.9964, -0.9982, -0.9974, -0.9976, -0.9984, -0.9974, -0.9986, -0.9976, -0.9982, -0.9972, -0.9982, -0.998, -0.9974, -0.9978, -0.9986, -0.9986, -0.9982, -0.998, -0.9982, -0.9982, -0.9984, -0.9982, -0.998, -0.998, -0.9966, -0.9974]",1.4373928064180845,5.741851616113677,3.11757458862552,0.051565580352190866,41727.786,95.859,22330.061,179.131,16000,16000,35.53846153846154,62.01538461538461,0.0,0.30000000000000004,5e-05,-0.012634810380404815,-0.022227054592804052,0.0038698778516845778,0.9081856,0.0190745607833378,1.537709105759859,0.0
-0.9948,-0.9986,-0.99772,109.97,31,0,20000,False,195,5,f3370e1a17914382a1d426f59ab48488,2021-04-30_18-09-46,1619773786,67.67663788795471,323.91561007499695,3695,Hinton,143.248.157.211,323.91561007499695,0,5,04181_00000,-0.9986,-0.9948,-0.99772,"[-0.998, -0.997, -0.997, -0.9968, -0.9966, -0.998, -0.9972, -0.9968, -0.998, -0.9966, -0.9978, -0.9984, -0.998, -0.998, -0.9972, -0.997, -0.9974, -0.9978, -0.9968, -0.9964, -0.9972, -0.9982, -0.9976, -0.9974, -0.9948, -0.9978, -0.9982, -0.996, -0.9984, -0.9954, -0.9982, -0.9976, -0.998, -0.9984, -0.9982, -0.9964, -0.9982, -0.9974, -0.9976, -0.9984, -0.9974, -0.9986, -0.9976, -0.9982, -0.9972, -0.9982, -0.998, -0.9974, -0.9978, -0.9986, -0.9986, -0.9982, -0.998, -0.9982, -0.9982, -0.9984, -0.9982, -0.998, -0.998, -0.9966, -0.9974, -0.998, -0.9984, -0.9976, -0.9974, -0.9984, -0.9974, -0.998, -0.9978, -0.9984, -0.9986, -0.998, -0.9978, -0.9982, -0.9986, -0.9986, -0.9978, -0.9972, -0.9978, -0.9976, -0.9974, -0.9986, -0.9982, -0.9978, -0.9974, -0.9982, -0.9984, -0.9978, -0.9978, -0.9976, -0.9978, -0.9984, -0.9974, -0.9982, -0.998, -0.997, -0.9974, -0.9984, -0.998, -0.9976]","[131, 129, 136, 143, 156, 112, 138, 149, 111, 119, 118, 121, 118, 122, 132, 129, 120, 148, 137, 126, 108, 120, 123, 129, 142, 121, 130, 131, 117, 158, 121, 99, 109, 104, 95, 107, 101, 99, 96, 98, 114, 100, 96, 94, 100, 95, 101, 90, 98, 90, 110, 104, 95, 96, 96, 98, 95, 95, 100, 108, 98, 93, 95, 101, 104, 106, 97, 118, 111, 106, 110, 112, 106, 96, 98, 96, 101, 96, 106, 112, 109, 95, 106, 99, 106, 114, 101, 107, 107, 99, 104, 95, 107, 97, 101, 101, 96, 107, 103, 103]","[-0.998, -0.997, -0.997, -0.9968, -0.9966, -0.998, -0.9972, -0.9968, -0.998, -0.9966, -0.9978, -0.9984, -0.998, -0.998, -0.9972, -0.997, -0.9974, -0.9978, -0.9968, -0.9964, -0.9972, -0.9982, -0.9976, -0.9974, -0.9948, -0.9978, -0.9982, -0.996, -0.9984, -0.9954, -0.9982, -0.9976, -0.998, -0.9984, -0.9982, -0.9964, -0.9982, -0.9974, -0.9976, -0.9984, -0.9974, -0.9986, -0.9976, -0.9982, -0.9972, -0.9982, -0.998, -0.9974, -0.9978, -0.9986, -0.9986, -0.9982, -0.998, -0.9982, -0.9982, -0.9984, -0.9982, -0.998, -0.998, -0.9966, -0.9974, -0.998, -0.9984, -0.9976, -0.9974, -0.9984, -0.9974, -0.998, -0.9978, -0.9984, -0.9986, -0.998, -0.9978, -0.9982, -0.9986, -0.9986, -0.9978, -0.9972, -0.9978, -0.9976, -0.9974, -0.9986, -0.9982, -0.9978, -0.9974, -0.9982, -0.9984, -0.9978, -0.9978, -0.9976, -0.9978, -0.9984, -0.9974, -0.9982, -0.998, -0.997, -0.9974, -0.9984, -0.998, -0.9976]",1.438488936888196,5.737828908361023,3.1793762580205764,0.051623942220692116,41818.599,95.651,22962.643,174.196,20000,20000,42.078125,64.06666666666666,0.0,0.30000000000000004,5e-05,-0.005675370339304209,-0.016447500209324062,0.0067325240961508825,0.84161794,0.013465351745253429,1.4830875769257545,0.0
-0.9946,-0.9986,-0.99739,122.29,27,0,24000,False,222,6,f3370e1a17914382a1d426f59ab48488,2021-04-30_18-11-05,1619773865,78.7578535079956,402.67346358299255,3695,Hinton,143.248.157.211,402.67346358299255,0,6,04181_00000,-0.9986,-0.9946,-0.99739,"[-0.996, -0.9976, -0.9976, -0.9976, -0.9974, -0.9956, -0.9964, -0.9946, -0.997, -0.9972, -0.9976, -0.9976, -0.9966, -0.9974, -0.9978, -0.9982, -0.9954, -0.9948, -0.9966, -0.9968, -0.997, -0.9962, -0.9968, -0.997, -0.9954, -0.9972, -0.9966, -0.998, -0.9966, -0.9974, -0.998, -0.9984, -0.9976, -0.9974, -0.9984, -0.9974, -0.998, -0.9978, -0.9984, -0.9986, -0.998, -0.9978, -0.9982, -0.9986, -0.9986, -0.9978, -0.9972, -0.9978, -0.9976, -0.9974, -0.9986, -0.9982, -0.9978, -0.9974, -0.9982, -0.9984, -0.9978, -0.9978, -0.9976, -0.9978, -0.9984, -0.9974, -0.9982, -0.998, -0.997, -0.9974, -0.9984, -0.998, -0.9976, -0.998, -0.997, -0.997, -0.9968, -0.9966, -0.998, -0.9972, -0.9968, -0.998, -0.9966, -0.9978, -0.9984, -0.998, -0.998, -0.9972, -0.997, -0.9974, -0.9978, -0.9968, -0.9964, -0.9972, -0.9982, -0.9976, -0.9974, -0.9948, -0.9978, -0.9982, -0.996, -0.9984, -0.9954, -0.9982]","[115, 133, 160, 170, 158, 157, 136, 159, 120, 128, 115, 139, 127, 159, 115, 130, 176, 160, 177, 148, 174, 159, 143, 132, 146, 120, 151, 100, 108, 98, 93, 95, 101, 104, 106, 97, 118, 111, 106, 110, 112, 106, 96, 98, 96, 101, 96, 106, 112, 109, 95, 106, 99, 106, 114, 101, 107, 107, 99, 104, 95, 107, 97, 101, 101, 96, 107, 103, 103, 131, 129, 136, 143, 156, 112, 138, 149, 111, 119, 118, 121, 118, 122, 132, 129, 120, 148, 137, 126, 108, 120, 123, 129, 142, 121, 130, 131, 117, 158, 121]","[-0.996, -0.9976, -0.9976, -0.9976, -0.9974, -0.9956, -0.9964, -0.9946, -0.997, -0.9972, -0.9976, -0.9976, -0.9966, -0.9974, -0.9978, -0.9982, -0.9954, -0.9948, -0.9966, -0.9968, -0.997, -0.9962, -0.9968, -0.997, -0.9954, -0.9972, -0.9966, -0.998, -0.9966, -0.9974, -0.998, -0.9984, -0.9976, -0.9974, -0.9984, -0.9974, -0.998, -0.9978, -0.9984, -0.9986, -0.998, -0.9978, -0.9982, -0.9986, -0.9986, -0.9978, -0.9972, -0.9978, -0.9976, -0.9974, -0.9986, -0.9982, -0.9978, -0.9974, -0.9982, -0.9984, -0.9978, -0.9978, -0.9976, -0.9978, -0.9984, -0.9974, -0.9982, -0.998, -0.997, -0.9974, -0.9984, -0.998, -0.9976, -0.998, -0.997, -0.997, -0.9968, -0.9966, -0.998, -0.9972, -0.9968, -0.998, -0.9966, -0.9978, -0.9984, -0.998, -0.998, -0.9972, -0.997, -0.9974, -0.9978, -0.9968, -0.9964, -0.9972, -0.9982, -0.9976, -0.9974, -0.9948, -0.9978, -0.9982, -0.996, -0.9984, -0.9954, -0.9982]",1.4551469180961476,5.7904562834215305,3.2263995446374456,0.052190494374056796,43325.548,92.324,23784.691,168.175,24000,24000,52.13214285714285,70.19196428571429,0.0,0.30000000000000004,5e-05,-0.020122171787079424,-0.03267123026307672,0.005281589830701705,0.8960873,0.02422489324817434,1.3803473375737667,0.0
-0.9942,-0.9986,-0.9969960000000002,140.35,22,0,28000,False,244,7,f3370e1a17914382a1d426f59ab48488,2021-04-30_18-12-30,1619773950,85.28166127204895,487.9551248550415,3695,Hinton,143.248.157.211,487.9551248550415,0,7,04181_00000,-0.9986,-0.9942,-0.9969960000000002,"[-0.9972, -0.9968, -0.996, -0.997, -0.9956, -0.9952, -0.9942, -0.9944, -0.997, -0.995, -0.995, -0.9964, -0.997, -0.9958, -0.9968, -0.9962, -0.9954, -0.9946, -0.9976, -0.9976, -0.997, -0.9964, -0.9974, -0.9986, -0.9982, -0.9978, -0.9974, -0.9982, -0.9984, -0.9978, -0.9978, -0.9976, -0.9978, -0.9984, -0.9974, -0.9982, -0.998, -0.997, -0.9974, -0.9984, -0.998, -0.9976, -0.998, -0.997, -0.997, -0.9968, -0.9966, -0.998, -0.9972, -0.9968, -0.998, -0.9966, -0.9978, -0.9984, -0.998, -0.998, -0.9972, -0.997, -0.9974, -0.9978, -0.9968, -0.9964, -0.9972, -0.9982, -0.9976, -0.9974, -0.9948, -0.9978, -0.9982, -0.996, -0.9984, -0.9954, -0.9982, -0.996, -0.9976, -0.9976, -0.9976, -0.9974, -0.9956, -0.9964, -0.9946, -0.997, -0.9972, -0.9976, -0.9976, -0.9966, -0.9974, -0.9978, -0.9982, -0.9954, -0.9948, -0.9966, -0.9968, -0.997, -0.9962, -0.9968, -0.997, -0.9954, -0.9972, -0.9966]","[164, 176, 174, 229, 165, 203, 167, 221, 169, 220, 152, 160, 228, 204, 172, 235, 191, 160, 169, 208, 147, 162, 109, 95, 106, 99, 106, 114, 101, 107, 107, 99, 104, 95, 107, 97, 101, 101, 96, 107, 103, 103, 131, 129, 136, 143, 156, 112, 138, 149, 111, 119, 118, 121, 118, 122, 132, 129, 120, 148, 137, 126, 108, 120, 123, 129, 142, 121, 130, 131, 117, 158, 121, 115, 133, 160, 170, 158, 157, 136, 159, 120, 128, 115, 139, 127, 159, 115, 130, 176, 160, 177, 148, 174, 159, 143, 132, 146, 120, 151]","[-0.9972, -0.9968, -0.996, -0.997, -0.9956, -0.9952, -0.9942, -0.9944, -0.997, -0.995, -0.995, -0.9964, -0.997, -0.9958, -0.9968, -0.9962, -0.9954, -0.9946, -0.9976, -0.9976, -0.997, -0.9964, -0.9974, -0.9986, -0.9982, -0.9978, -0.9974, -0.9982, -0.9984, -0.9978, -0.9978, -0.9976, -0.9978, -0.9984, -0.9974, -0.9982, -0.998, -0.997, -0.9974, -0.9984, -0.998, -0.9976, -0.998, -0.997, -0.997, -0.9968, -0.9966, -0.998, -0.9972, -0.9968, -0.998, -0.9966, -0.9978, -0.9984, -0.998, -0.998, -0.9972, -0.997, -0.9974, -0.9978, -0.9968, -0.9964, -0.9972, -0.9982, -0.9976, -0.9974, -0.9948, -0.9978, -0.9982, -0.996, -0.9984, -0.9954, -0.9982, -0.996, -0.9976, -0.9976, -0.9976, -0.9974, -0.9956, -0.9964, -0.9946, -0.997, -0.9972, -0.9976, -0.9976, -0.9966, -0.9974, -0.9978, -0.9982, -0.9954, -0.9948, -0.9966, -0.9968, -0.997, -0.9962, -0.9968, -0.997, -0.9954, -0.9972, -0.9966]",1.482705354993887,5.879409977201897,3.297580901524213,0.0531439028380855,45141.343,88.611,24564.525,162.836,28000,28000,54.54132231404958,72.87685950413221,0.0,0.45000000000000007,5e-05,0.00162734481273219,-0.009411297913175076,0.007255040880409069,0.87866193,0.008408009336562827,1.300805538892746,0.0
